repair_id,customer_id,customer_name,customer_email,customer_age,customer_country,phone_model,repair_type,repair_center,repair_start_date,repair_end_date,repair_cost,repair_status,parts_used,repair_duration_days,turnaround_time_days
80f66ce1-2e81-48da-8ad2-a6ec04de4ef6,063e62aa-00af-44f7-94ce-dfd811799cc5,Vanessa Williams,gavinwhite@example.org,49,Bouvet Island (Bouvetoya),Model D,Motherboard Replacement,Center D,2024-04-01,2024-09-27,257.84337859642744,Completed,4,2,2
5f54af85-baa9-4001-89d9-1d7695ce66fd,a7134d2f-2def-40c0-b1fe-39478df439fc,Steve Johnson,shunter@example.net,65,Oman,Model A,Charging Port Repair,Center A,2024-07-22,2024-02-29,199.74462704430263,Cancelled,1,19,19
2b035acf-b0e4-4aee-8d0d-d4c6b3feb87d,a7a58332-ffba-456d-879c-e995dd9f6309,Priscilla Daniels,woodardalison@example.com,60,Uganda,Model A,Speaker Replacement,Center B,2024-01-02,2024-02-27,78.73324926489171,Cancelled,4,11,11
c1a67c05-2240-4ea0-8a54-2b7a78fff84d,55a8cc27-b630-4f4c-9c13-2ab2be6f6837,Regina Griffin,sross@example.org,54,United States Minor Outlying Islands,Model D,Button Repair,Center A,2024-03-06,2024-08-12,73.46432120583904,Pending,1,13,13
6cc59b01-313c-4d0e-86ba-1c6028bc5fad,18821242-9adb-49e8-af25-a9cbe9155485,Deborah Crawford,snyderjulia@example.org,21,Iceland,Model B,Screen Replacement,Center D,2024-03-31,2024-06-23,277.40670485914814,In Progress,1,10,10
413ee939-25bd-44d9-bf38-1cae2c122a29,657766c8-f911-4329-abad-21fbde6f6a70,Elizabeth Dominguez,ymurphy@example.org,47,British Virgin Islands,Model B,Microphone Repair,Center A,2024-11-01,2024-06-04,217.30006573451962,Completed,2,14,14
5db0f2f8-a155-4ced-93df-f00d0e15c8a7,21a5c61f-f2a6-46d2-9953-89c6867155a6,Cody Martin,bradleyhall@example.org,23,Croatia,Model C,Camera Repair,Center D,2024-11-05,2024-10-13,257.3216998291889,Pending,3,18,18
9af18a07-e7c5-4756-9275-e81451b1631b,544c77eb-74b6-4b4e-a012-2081e7e1a9bd,Michael Burns,austin66@example.net,63,Taiwan,Model D,Water Damage Repair,Center D,2024-05-06,2024-09-17,269.7447250705668,Pending,4,19,19
5e06c522-7b10-4cb9-ac37-5fde24b12908,52167546-96c6-4114-8b19-a6b7ec8cc9a1,Joseph Parrish,mmoore@example.net,36,Tajikistan,Model D,Motherboard Replacement,Center A,2024-03-15,2024-02-15,192.94308801208055,Pending,2,9,9
2eb8508b-89a4-491a-bd82-28308f856850,8ffb53ae-db46-4a7f-8a59-aa8e75441579,Mark Castaneda,gonzalezkristy@example.org,49,Mozambique,Model B,Speaker Replacement,Center B,2024-09-17,2024-06-28,179.36158793876032,Cancelled,1,7,7
